[2023-07-09 14:45:02 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
][2023-07-09 14:45:02 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
][2023-07-09 14:45:02 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
][2023-07-09 14:45:02 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
][2023-07-09 14:45:02 INFO  Version:44 - HHH000412: Hibernate ORM core version 5.6.15.Final
][2023-07-09 14:45:02 DEBUG Environment:199 - HHH000206: hibernate.properties not found
][2023-07-09 14:45:02 DEBUG LocalXmlResourceResolver:63 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
][2023-07-09 14:45:02 DEBUG LocalXmlResourceResolver:87 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
][2023-07-09 14:45:02 DEBUG JaxbCfgProcessor:117 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
][2023-07-09 14:45:03 DEBUG Configuration:742 - Building session factory using internal StandardServiceRegistryBuilder
][2023-07-09 14:45:03 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
][2023-07-09 14:45:03 DEBUG Configuration:672 - Building session factory using provided StandardServiceRegistry
][2023-07-09 14:45:03 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
][2023-07-09 14:45:03 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
][2023-07-09 14:45:03 INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@2c5529ab
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@2c5529ab
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2c5529ab
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@294e5088
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5911e990
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration yes_no -> org.hibernate.type.YesNoType@54c62d71
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@4af0df05
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@4af0df05
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4af0df05
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration character -> org.hibernate.type.CharacterType@7216fb24
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration char -> org.hibernate.type.CharacterType@7216fb24
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7216fb24
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@d3957fe
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@d3957fe
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@d3957fe
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration integer -> org.hibernate.type.IntegerType@5e1fa5b1
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration int -> org.hibernate.type.IntegerType@5e1fa5b1
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5e1fa5b1
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@4fce136b
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@4fce136b
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4fce136b
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@3300f4fd
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@3300f4fd
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3300f4fd
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@7cbc3762
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@7cbc3762
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@7cbc3762
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@2f48b3d2
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@2f48b3d2
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4c550889
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4c550889
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration string -> org.hibernate.type.StringType@3724af13
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.String -> org.hibernate.type.StringType@3724af13
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@a43ce46
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2320fa6f
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration url -> org.hibernate.type.UrlType@37efd131
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@37efd131
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration Duration -> org.hibernate.type.DurationType@56e8b606
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@56e8b606
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration Instant -> org.hibernate.type.InstantType@5cdd09b1
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5cdd09b1
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@708400f6
][2023-07-09 14:45:03 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@708400f6
